what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1718795452958
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1718795452958
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1718795452959
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1718795452959
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1718795452959
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1718795452960
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1718795452960
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1718795452960
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1718795452960
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1718795452961
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1718795452961
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1718795452961
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1718795452961
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1718795452962
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1718795452962
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1718795452975
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1718795452975
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1718795452975
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1718795452976
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1718795452976
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1718795452976
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1718795452976
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1718795452976
os,sysinfo,,,"win32",1718795452978
arch,sysinfo,,,"x86",1718795452978
ws,sysinfo,,,"win32",1718795452978
locale,sysinfo,,,"en_US",1718795452978
processors,sysinfo,,,"8",1718795452978
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1718795452978
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1718795452978
java.specification.name,sysinfo,,,"Java Platform API Specification",1718795452978
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1718795452978
java.specification.version,sysinfo,,,"1.6",1718795452978
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1718795452978
java.version,sysinfo,,,"1.6.0_23",1718795452978
java.vm.info,sysinfo,,,"mixed mode",1718795452978
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1718795452978
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1718795452978
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1718795452978
java.vm.specification.version,sysinfo,,,"1.0",1718795452978
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1718795452978
java.vm.version,sysinfo,,,"19.0-b09",1718795452978
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1718795453892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795457136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795465784
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1718795473990
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718795474389
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1718795474978
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1718795475055
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1718795475055
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1718795475056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795477904
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1718795621653
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1718795621908
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1718795623394
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1718795626012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795633525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795635702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795649577
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1718795649819
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1718795649822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795653079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795656752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795658010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795667540
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718795667554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1718795670015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795670469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795888424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718795898315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718832892262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718832894350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718868949071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718868949657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718868949772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718868981423
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718868981726
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1718868982915
